#,Company,Symbol,Weight,Price,Change
453,Robert Half International Inc.,RHI,0.033682,65.93,0.0
454,SL Green Realty Corp.,SLG,0.033351,90.38,0.0
455,Invesco Ltd.,IVZ,0.033334,19.8,0.02
456,Unum Group,UNM,0.033292,36.38,0.0
457,BorgWarner Inc.,BWA,0.033175,37.81,0.0
458,Apartment Investment and Management Company Class A,AIV,0.032523,50.78,0.0
459,Kimco Realty Corporation,KIM,0.031894,17.67,0.01
460,DISH Network Corporation Class A,DISH,0.031272,32.57,0.0
461,A. O. Smith Corporation,AOS,0.030969,51.32,0.0
462,Macy's Inc,M,0.030351,23.66,-0.05
463,Sealed Air Corporation,SEE,0.030128,45.3,0.0
464,PulteGroup Inc.,PHM,0.029831,26.87,0.0
465,Pentair plc,PNR,0.029459,42.62,0.0
466,Foot Locker Inc.,FL,0.029232,58.98,0.0
467,Xerox Corporation,XRX,0.029147,31.55,-0.06
468,FLIR Systems Inc.,FLIR,0.029077,50.14,0.0
469,Capri Holdings Limited,CPRI,0.029064,45.94,0.01
470,Ralph Lauren Corporation Class A,RL,0.028877,120.78,0.0
471,Alaska Air Group Inc.,ALK,0.028692,55.37,-0.39
472,DaVita Inc.,DVA,0.028649,53.53,0.0
473,Campbell Soup Company,CPB,0.028578,35.64,-0.37
474,Newell Brands Inc,NWL,0.028318,15.54,-0.02
475,Cimarex Energy Co.,XEC,0.028193,70.06,0.0
476,Hanesbrands Inc.,HBI,0.027573,17.6,-0.03
477,People's United Financial Inc.,PBCT,0.027433,17.36,0.0
478,Fortune Brands Home & Security Inc.,FBHS,0.027415,45.94,0.0
479,Nektar Therapeutics,NKTR,0.026428,35.0,-0.53
480,Harley-Davidson Inc.,HOG,0.025566,36.6,0.0
481,Rollins Inc.,ROL,0.025547,40.46,0.0
482,L Brands Inc.,LB,0.025241,26.58,0.0
483,Helmerich & Payne Inc.,HP,0.025229,54.41,-0.14
484,Perrigo Co. Plc,PRGO,0.025099,48.15,0.0
485,Flowserve Corporation,FLS,0.024399,44.28,0.0
486,Affiliated Managers Group Inc.,AMG,0.024053,109.35,0.0
487,Leggett & Platt Incorporated,LEG,0.023881,43.0,0.0
488,Jefferies Financial Group Inc.,JEF,0.023805,19.43,0.0
489,Gap Inc.,GPS,0.023565,25.29,0.0
490,Quanta Services Inc.,PWR,0.022898,37.35,0.0
491,IPG Photonics Corporation,IPGP,0.022693,153.61,0.0
492,TripAdvisor Inc.,TRIP,0.022292,51.59,0.0
493,Fluor Corporation,FLR,0.022148,37.7,-0.04
494,Assurant Inc.,AIZ,0.02184,98.73,0.0
495,Nordstrom Inc.,JWN,0.021469,43.75,0.01
496,Coty Inc. Class A,COTY,0.020867,10.89,0.0
497,Mattel Inc.,MAT,0.020857,14.47,0.0
498,H&R Block Inc.,HRB,0.02083,24.35,0.0
499,News Corporation Class A,NWSA,0.020312,12.64,0.0
500,Macerich Company,MAC,0.019587,42.63,0.0
501,Brighthouse Financial Inc.,BHF,0.019494,39.57,0.0
502,Discovery Inc. Class A,DISCA,0.017947,27.43,0.0
503,Under Armour Inc. Class A,UAA,0.017426,22.19,-0.02
504,Under Armour Inc. Class C,UA,0.015707,19.87,0.07
505,News Corporation Class B,NWS,0.006142,12.74,0.0
