#,Company,Symbol,Weight,Price,Change
105,Crown Castle International Corp,CCI,0.216905,125.03,0.0
106,Raytheon Company,RTN,0.216558,178.39,0.44
107,Deere & Company,DE,0.213735,157.7,-0.45
108,S&P Global Inc.,SPGI,0.213691,203.18,0.0
109,Walgreens Boots Alliance Inc,WBA,0.211072,62.55,-0.08
110,General Motors Company,GM,0.210525,38.1,0.03
111,Occidental Petroleum Corporation,OXY,0.21042,65.47,0.0
112,Norfolk Southern Corporation,NSC,0.206859,179.52,0.0
113,Bank of New York Mellon Corporation,BK,0.204689,53.12,0.0
114,Exelon Corporation,EXC,0.202061,50.0,0.0
115,Northrop Grumman Corporation,NOC,0.20175,271.21,0.0
116,Allergan plc,AGN,0.201608,151.25,0.0
117,Vertex Pharmaceuticals Incorporated,VRTX,0.200599,188.09,0.0
118,General Dynamics Corporation,GD,0.19928,169.4,-0.39
119,Marsh & McLennan Companies Inc.,MMC,0.196563,93.29,0.0
120,Zoetis Inc. Class A,ZTS,0.195088,96.91,0.0
121,Illumina Inc.,ILMN,0.191672,306.87,-2.97
122,Prologis Inc.,PLD,0.190516,71.64,-0.0
123,Illinois Tool Works Inc.,ITW,0.188721,143.08,-0.1
124,MetLife Inc.,MET,0.188213,45.31,0.0
125,Ecolab Inc.,ECL,0.186116,173.6,-0.41
126,FedEx Corporation,FDX,0.18339,177.73,-0.25
127,Micron Technology Inc.,MU,0.182642,39.59,0.05
128,Progressive Corporation,PGR,0.179122,73.6,-0.01
129,Intercontinental Exchange Inc.,ICE,0.178774,74.63,0.0
130,Emerson Electric Co.,EMR,0.17839,67.33,0.0
131,Phillips 66,PSX,0.177497,98.52,0.0
132,Marathon Petroleum Corporation,MPC,0.174709,60.45,0.0
133,Kimberly-Clark Corporation,KMB,0.173313,120.19,0.0
134,Cognizant Technology Solutions Corporation Class A,CTSH,0.1732,72.13,0.0
135,American Electric Power Company Inc.,AEP,0.172445,83.81,0.0
136,Aon plc,AON,0.172353,170.0,0.0
137,Air Products and Chemicals Inc.,APD,0.171265,184.85,0.0
138,Analog Devices Inc.,ADI,0.169678,109.39,0.0
139,Target Corporation,TGT,0.169499,76.87,0.21
140,Capital One Financial Corporation,COF,0.168003,84.33,0.0
141,Prudential Financial Inc.,PRU,0.167974,95.98,0.0
142,Waste Management Inc.,WM,0.167949,100.84,-0.13
143,American International Group Inc.,AIG,0.163603,44.04,0.0
144,BB&T Corporation,BBT,0.163402,49.98,0.0
145,Humana Inc.,HUM,0.162573,280.14,0.0
146,Applied Materials Inc.,AMAT,0.161369,40.55,0.16
147,Aflac Incorporated,AFL,0.160804,49.95,0.0
148,Baxter International Inc.,BAX,0.160312,76.94,0.0
149,Kinder Morgan Inc Class P,KMI,0.159875,19.9,0.03
150,Edwards Lifesciences Corporation,EW,0.15745,179.75,0.0
151,Valero Energy Corporation,VLO,0.152953,85.15,0.07
152,Estee Lauder Companies Inc. Class A,EL,0.151347,164.0,1.26
153,Equinix Inc.,EQIX,0.150056,441.61,0.0
154,HCA Healthcare Inc,HCA,0.150022,132.74,0.39
155,Travelers Companies Inc.,TRV,0.149987,134.18,0.0
156,Sherwin-Williams Company,SHW,0.149849,431.03,0.0
157,Fidelity National Information Services Inc.,FIS,0.149299,108.88,0.0
158,Eaton Corp. Plc,ETN,0.147799,80.58,0.0
159,Fiserv Inc.,FISV,0.145813,86.79,0.55
160,Marriott International Inc. Class A,MAR,0.145425,122.32,0.0
161,Sempra Energy,SRE,0.143561,124.62,0.0
162,Roper Technologies Inc.,ROP,0.141866,326.21,0.0
163,Ross Stores Inc.,ROST,0.141809,89.9,0.0
164,Williams Companies Inc.,WMB,0.14147,27.56,0.0
165,Autodesk Inc.,ADSK,0.140737,152.54,-0.74
166,Johnson Controls International plc,JCI,0.140429,35.99,0.16
167,eBay Inc.,EBAY,0.139628,36.15,-0.15
168,Activision Blizzard Inc.,ATVI,0.139303,44.75,0.12
169,Ford Motor Company,F,0.138832,8.43,0.0
170,Public Storage,PSA,0.138116,217.61,-0.01
171,Allstate Corporation,ALL,0.136775,94.84,0.0
172,Red Hat Inc.,RHT,0.135751,181.66,-0.12
173,Delta Air Lines Inc.,DAL,0.135198,51.2,0.01
174,Sysco Corporation,SYY,0.133349,66.27,0.0
175,Regeneron Pharmaceuticals Inc.,REGN,0.13314,414.0,-0.47
176,Yum! Brands Inc.,YUM,0.132302,100.9,0.0
177,HP Inc.,HPQ,0.131039,19.88,-0.06
178,Xilinx Inc.,XLNX,0.130335,124.12,-0.05
179,Electronic Arts Inc.,EA,0.127292,98.6,-0.38
180,Public Service Enterprise Group Inc,PEG,0.127064,59.73,0.0
181,Alexion Pharmaceuticals Inc.,ALXN,0.126748,136.74,0.65
182,Dollar General Corporation,DG,0.125177,113.8,-0.09
183,O'Reilly Automotive Inc.,ORLY,0.124883,370.27,0.25
184,SunTrust Banks Inc.,STI,0.124436,63.8,0.0
185,Welltower Inc.,WELL,0.124027,77.29,-0.0
186,Moody's Corporation,MCO,0.123198,176.69,0.0
187,Xcel Energy Inc.,XEL,0.122389,56.4,-0.1
188,TE Connectivity Ltd.,TEL,0.122301,83.7,0.0
189,Constellation Brands Inc. Class A,STZ,0.120279,169.27,-1.18
190,General Mills Inc.,GIS,0.119251,47.46,-0.05
191,Amphenol Corporation Class A,APH,0.119172,95.42,0.23
192,LyondellBasell Industries NV,LYB,0.117899,87.0,0.0
193,Lam Research Corporation,LRCX,0.117413,182.46,0.07
194,Corning Inc,GLW,0.116978,34.52,0.0
195,V.F. Corporation,VFC,0.116683,84.78,0.0
196,AvalonBay Communities Inc.,AVB,0.116605,199.32,0.35
197,Equity Residential,EQR,0.116546,75.0,0.24
198,ONEOK Inc.,OKE,0.116386,66.85,0.0
199,State Street Corporation,STT,0.112525,70.1,0.0
200,PPG Industries Inc.,PPG,0.111996,110.03,0.0
201,Consolidated Edison Inc.,ED,0.111454,84.84,0.0
202,Southwest Airlines Co.,LUV,0.11137,51.5,0.13
203,Ingersoll-Rand Plc,IR,0.1096,106.1,0.0
204,Agilent Technologies Inc.,A,0.107926,81.1,0.0
205,Hilton Worldwide Holdings Inc,HLT,0.10701,85.76,0.0
206,Paychex Inc.,PAYX,0.106617,79.23,0.0
207,Halliburton Company,HAL,0.105694,27.97,0.0
208,Twenty-First Century Fox Inc. Class B,FOX,0.10554,51.6,-0.12
209,Zimmer Biomet Holdings Inc.,ZBH,0.105463,125.92,0.0
210,M&T Bank Corporation,MTB,0.105156,172.52,0.0
211,Discover Financial Services,DFS,0.104645,73.16,0.0
212,Fortive Corp.,FTV,0.103131,82.54,0.0
213,T. Rowe Price Group,TROW,0.10298,102.44,0.0
214,Centene Corporation,CNC,0.102765,59.15,0.0
215,WEC Energy Group Inc,WEC,0.102721,78.68,-0.2
216,Archer-Daniels-Midland Company,ADM,0.102718,43.18,0.0
217,AutoZone Inc.,AZO,0.101831,960.1,-2.13
218,PACCAR Inc,PCAR,0.101018,67.65,0.0
219,Dollar Tree Inc.,DLTR,0.100379,99.86,0.0
220,Digital Realty Trust Inc.,DLR,0.100224,115.23,0.0
221,Monster Beverage Corporation,MNST,0.100089,60.27,0.0
222,Cummins Inc.,CMI,0.099625,157.41,0.0
223,PPL Corporation,PPL,0.099437,32.74,0.0
224,McKesson Corporation,MCK,0.099181,119.26,0.0
225,Pioneer Natural Resources Company,PXD,0.097496,135.66,-0.01
226,Motorola Solutions Inc.,MSI,0.097134,140.64,0.0
227,Carnival Corporation,CCL,0.096141,56.99,0.38
228,IQVIA Holdings Inc,IQV,0.09582,141.53,0.0
229,Anadarko Petroleum Corporation,APC,0.095711,44.9,0.35
230,DTE Energy Company,DTE,0.095318,123.98,0.0
231,Ventas Inc.,VTR,0.095025,62.59,0.0
232,Willis Towers Watson Public Limited Company,WLTW,0.094821,173.65,0.0
233,Parker-Hannifin Corporation,PH,0.094777,170.77,0.0
234,Hewlett Packard Enterprise Co.,HPE,0.094597,15.8,-0.27
235,Synchrony Financial,SYF,0.094518,33.33,0.02
236,Twitter Inc.,TWTR,0.094287,31.18,-0.04
237,Eversource Energy,ES,0.094258,71.73,0.0
238,Rockwell Automation Inc.,ROK,0.093748,179.33,0.0
239,SBA Communications Corp. Class A,SBAC,0.091637,190.95,0.0
240,Aptiv PLC,APTV,0.090674,81.96,0.0
241,TransDigm Group Incorporated,TDG,0.090269,439.87,0.0
242,Realty Income Corporation,O,0.089947,71.48,0.24
243,Northern Trust Corporation,NTRS,0.089089,94.92,0.0
244,Verisk Analytics Inc,VRSK,0.089049,128.43,0.0
245,Global Payments Inc.,GPN,0.088578,134.12,0.0
246,FleetCor Technologies Inc.,FLT,0.088009,239.27,0.0
247,Concho Resources Inc.,CXO,0.087646,103.5,-0.05
248,Boston Properties Inc.,BXP,0.087544,132.52,-0.22
249,Edison International,EIX,0.08753,63.92,0.0
250,Clorox Company,CLX,0.086465,160.67,0.0
251,Stanley Black & Decker Inc.,SWK,0.085484,131.51,0.0
252,Advanced Micro Devices Inc.,AMD,0.08504,23.35,0.06
253,FirstEnergy Corp.,FE,0.084534,41.23,0.0
254,Royal Caribbean Cruises Ltd.,RCL,0.084117,117.18,0.0
255,Kraft Heinz Company,KHC,0.083617,32.06,-0.03
256,Ball Corporation,BLL,0.083362,57.48,-0.02
257,Kroger Co.,KR,0.082961,24.4,0.04
258,Microchip Technology Incorporated,MCHP,0.08277,86.89,0.79
259,VeriSign Inc.,VRSN,0.082234,181.62,0.0
260,IHS Markit Ltd.,INFO,0.081828,54.52,0.0
261,Weyerhaeuser Company,WY,0.081167,25.53,0.0
262,Tyson Foods Inc. Class A,TSN,0.081024,65.22,0.0
263,International Paper Company,IP,0.080911,45.63,0.12
264,Essex Property Trust Inc.,ESS,0.080612,289.4,0.0
265,American Water Works Company Inc.,AWK,0.079916,105.81,0.0
266,Fifth Third Bancorp,FITB,0.079907,28.32,0.0
267,Harris Corporation,HRS,0.079778,160.68,0.0
268,Cerner Corporation,CERN,0.079305,57.91,0.0
269,Waters Corporation,WAT,0.078739,244.97,0.0
270,United Continental Holdings Inc.,UAL,0.078681,81.7,0.01
271,Nucor Corporation,NUE,0.078529,58.53,0.0
